player,date,type,score
ronaldo,4/12/2017,Right-footed shot,2
ronaldo,4/13/2011,Right-footed shot,1
ronaldo,4/16/2019,Header,1
ronaldo,4/18/2017,Header,1
ronaldo,4/18/2017,Left-footed shot,1
ronaldo,4/18/2017,Right-footed shot,1
ronaldo,4/2/2014,Left-footed shot,1
ronaldo,4/24/2007,Header,1
ronaldo,4/24/2013,Right-footed shot,1
ronaldo,4/25/2012,Penalty,1
ronaldo,4/25/2012,Right-footed shot,1
ronaldo,4/29/2014,Direct free kick,1
ronaldo,4/3/2013,Left-footed shot,1
ronaldo,4/3/2018,Right-footed shot,2
ronaldo,4/4/2012,Direct free kick,1
ronaldo,4/4/2012,Right-footed shot,1
ronaldo,4/5/2011,Right-footed shot,1
ronaldo,4/9/2013,Right-footed shot,2
ronaldo,5/13/2015,Penalty,1
ronaldo,5/2/2017,Header,1
ronaldo,5/2/2017,Right-footed shot,2
ronaldo,5/21/2008,Header,1
ronaldo,5/24/2014,Penalty,1
ronaldo,5/5/2009,Direct free kick,1
ronaldo,5/5/2009,Right-footed shot,1
ronaldo,5/5/2015,Header,1
ronaldo,6/3/2017,Right-footed shot,2
ronaldo,8/7/2020,Left-footed shot,1
ronaldo,8/7/2020,Penalty,1
ronaldo,9/13/2017,Penalty,1
ronaldo,9/14/2016,Direct free kick,1
ronaldo,9/15/2009,Direct free kick,2
ronaldo,9/15/2015,Header,1
ronaldo,9/15/2015,Penalty,2
ronaldo,9/16/2014,Right-footed shot,1
ronaldo,9/17/2013,Left-footed shot,2
ronaldo,9/18/2012,Right-footed shot,1
ronaldo,9/19/2007,Header,1
ronaldo,9/26/2017,Left-footed shot,1
ronaldo,9/26/2017,Right-footed shot,1
ronaldo,9/27/2011,Right-footed shot,1
ronaldo,9/27/2016,Right-footed shot,1
ronaldo,9/30/2009,Left-footed shot,1
ronaldo,9/30/2009,Right-footed shot,1
ronaldo,9/30/2015,Left-footed shot,1
ronaldo,9/30/2015,Right-footed shot,1
